Ano,Municipio,TOTAL DE VITIMAS,IDADE,Total CVP,TOTAL DE ENVOLVIDOS,1º série_matrículas,2º série_matrículas,3º série_matrículas,4º série_matrículas,Anos finais_docentes,Anos finais_escolas,Anos iniciais_docentes,Anos iniciais_escolas,Creche_docentes,Creche_escolas,Creche_matrículas,Ensino fundamental_docentes,Ensino fundamental_escolas,Ensino fundamental_matrículas,Ensino infantil_docentes,Ensino infantil_escolas,Ensino infantil_matrículas,Ensino médio_docentes,Ensino médio_escolas,Ensino médio_matrículas,Estadual_docentes,Estadual_escolas,Estadual_matrículas,Federal_docentes,Federal_escolas,Federal_matrículas,Municipal_docentes,Municipal_escolas,Municipal_matrículas,Não seriada_matrículas,Privado_docentes,Privado_escolas,Privado_matrículas,Pré-escolar_docentes,Pré-escolar_escolas,Pré-escolar_matrículas,IDEB
2015,casinhas,3,21.0,14,51,131.0,100.0,129.0,0.0,56.0,4.0,67.0,18.0,24.0,15.0,288.0,121.0,18.0,2128.0,47.0,18.0,654.0,19.0,1.0,360.0,0.0,0.0,120.0,0.0,0.0,0.0,43.75,13.5,252.9090909090909,0.0,0.0,0.0,0.0,28.0,17.0,366.0,3.6
2015,catende,19,29.789473684210527,117,56,525.0,603.0,477.0,44.0,160.0,14.0,145.0,34.0,22.0,5.0,374.0,291.0,37.0,5850.0,70.0,33.0,1411.0,74.0,5.0,1649.0,28.0,3.0,301.5,0.0,0.0,0.0,69.25,16.0,522.9090909090909,0.0,19.25,4.5,122.63636363636364,49.0,32.0,1037.0,4.7
2015,cedro,1,39.0,10,42,161.0,144.0,145.0,0.0,67.0,6.0,44.0,14.0,8.0,6.0,118.0,101.0,15.0,1835.0,23.0,12.0,480.0,25.0,2.0,450.0,11.0,1.0,84.16666666666667,0.0,0.0,0.0,25.25,7.75,173.63636363636363,0.0,6.25,1.5,43.75,15.0,12.0,362.0,4.4
2015,condado,13,28.076923076923077,155,47,292.0,341.0,265.0,0.0,90.0,6.0,77.0,13.0,10.0,11.0,270.0,161.0,15.0,4109.0,46.0,14.0,1116.0,67.0,4.0,898.0,22.0,1.0,191.33333333333334,0.0,0.0,0.0,29.5,6.75,306.54545454545456,0.0,19.5,3.75,123.3076923076923,36.0,13.0,846.0,4.5
2015,correntes,3,39.0,14,14,140.0,165.0,140.0,0.0,58.0,2.0,67.0,26.0,11.0,21.0,310.0,125.0,27.0,2535.0,28.0,27.0,665.0,29.0,2.0,445.0,0.0,0.0,148.33333333333334,0.0,0.0,0.0,36.25,17.5,282.6363636363636,0.0,3.0,1.0,15.166666666666666,18.0,24.0,355.0,3.8
2015,cumaru,3,31.0,43,33,200.0,150.0,172.0,0.0,55.0,3.0,69.0,27.0,12.0,26.0,228.0,120.0,27.0,2239.0,35.0,28.0,671.0,20.0,1.0,522.0,0.0,0.0,174.0,0.0,0.0,0.0,32.0,18.25,236.54545454545453,0.0,10.0,2.5,28.0,24.0,27.0,443.0,4.0
2015,cupira,19,27.105263157894736,279,63,367.0,297.0,235.0,0.0,113.0,9.0,78.0,29.0,26.0,8.0,362.0,183.0,31.0,3885.0,60.0,30.0,1036.0,44.0,3.0,899.0,16.0,1.0,169.28571428571428,0.0,0.0,0.0,42.75,11.0,307.45454545454544,0.0,18.75,7.5,89.5,36.0,29.0,674.0,4.766666666666667
2015,dormentes,2,41.5,6,20,271.0,206.0,190.0,0.0,71.0,5.0,47.0,18.0,4.0,4.0,97.0,110.0,19.0,2633.0,24.0,18.0,622.0,34.0,2.0,667.0,0.0,0.0,222.33333333333334,0.0,0.0,0.0,32.75,10.5,286.54545454545456,0.0,4.0,1.0,14.714285714285714,20.0,18.0,525.0,6.3
2015,escada,67,27.074626865671643,479,132,947.0,1016.0,1042.0,19.0,252.0,19.0,305.0,73.0,51.0,30.0,631.0,533.0,78.0,10974.0,162.0,72.0,2523.0,153.0,7.0,3024.0,18.0,1.0,398.125,0.0,0.0,0.0,113.25,25.75,774.5454545454545,0.0,69.75,22.25,344.0,118.0,71.0,1892.0,3.8
2015,exu,4,37.25,17,63,566.0,546.0,501.0,65.0,205.0,8.0,125.0,54.0,21.0,6.0,303.0,314.0,55.0,5899.0,73.0,40.0,1173.0,124.0,5.0,1678.0,48.0,2.5,287.2,0.0,0.0,0.0,68.75,24.25,417.15384615384613,0.0,10.75,1.5,45.5,54.0,40.0,870.0,4.666666666666666
2015,feira nova,10,29.8,154,56,342.0,321.0,183.0,0.0,72.0,5.0,77.0,15.0,13.0,5.0,179.0,149.0,17.0,3282.0,42.0,14.0,815.0,46.0,2.0,846.0,15.0,1.0,199.0,0.0,0.0,0.0,35.0,6.25,297.54545454545456,0.0,12.666666666666666,4.0,96.42857142857143,29.0,13.0,636.0,4.4
2015,ferreiros,5,34.8,52,29,114.0,128.0,126.0,0.0,39.0,2.0,43.0,11.0,10.0,5.0,163.0,82.0,11.0,1754.0,27.0,7.0,475.0,20.0,1.0,368.0,4.5,1.0,77.66666666666667,0.0,0.0,0.0,18.25,3.5,157.63636363636363,0.0,6.75,3.0,56.714285714285715,17.0,7.0,312.0,4.3
2015,flores,6,40.0,20,44,265.0,228.0,160.0,0.0,92.0,8.0,84.0,26.0,17.0,20.0,267.0,175.0,27.0,3343.0,45.0,25.0,885.0,40.0,3.0,653.0,17.5,1.5,157.5,0.0,0.0,0.0,42.5,17.25,302.45454545454544,0.0,5.5,1.75,36.75,29.0,25.0,618.0,5.266666666666667
2015,floresta,24,36.5,47,116,534.0,424.0,357.0,99.0,195.0,14.0,118.0,59.0,9.0,12.0,739.0,298.0,62.0,5342.0,60.0,32.0,1742.0,112.0,8.0,1414.0,28.333333333333332,4.666666666666667,178.78571428571428,0.0,0.0,63.75,57.25,20.5,425.45454545454544,0.0,18.25,3.0,96.36363636363636,51.0,23.0,1003.0,4.466666666666667
2015,frei miguelinho,5,19.2,40,12,242.0,211.0,173.0,24.0,45.0,5.0,54.0,17.0,16.0,12.0,186.0,97.0,18.0,1968.0,32.0,17.0,535.0,39.0,2.0,650.0,13.0,1.0,135.16666666666666,0.0,0.0,0.0,31.5,12.5,212.9090909090909,0.0,0.0,0.0,0.0,22.0,17.0,349.0,4.9
2015,gameleira,7,28.285714285714285,107,28,261.0,239.0,189.0,22.0,90.0,7.0,98.0,33.0,9.0,4.0,185.0,178.0,36.0,3515.0,55.0,29.0,990.0,47.0,2.0,735.0,27.0,2.0,159.71428571428572,0.0,0.0,0.0,52.666666666666664,20.0,313.8,24.0,16.25,2.75,89.45454545454545,46.0,29.0,805.0,4.0
2015,garanhuns,42,31.785714285714285,834,610,2161.0,2064.0,1763.0,0.0,459.0,40.0,500.0,91.0,106.0,42.0,1430.0,928.0,102.0,22526.0,288.0,77.0,5333.0,343.0,20.0,5988.0,79.0,6.5,973.5,0.0,0.0,131.0,148.25,26.5,1372.2727272727273,0.0,137.5,32.5,755.0714285714286,198.0,76.0,3903.0,4.533333333333333
2015,goiana,44,29.954545454545453,542,414,1082.0,1183.0,952.0,55.0,305.0,24.0,337.0,55.0,88.0,43.0,1112.0,603.0,62.0,12494.0,213.0,60.0,3413.0,197.0,11.0,3272.0,55.0,3.0,491.0,0.0,0.0,0.0,111.0,23.5,842.5454545454545,0.0,96.25,19.75,427.35714285714283,132.0,54.0,2301.0,4.166666666666667
2015,granito,1,18.0,4,5,120.0,105.0,82.0,10.0,27.0,4.0,40.0,5.0,10.0,7.0,208.0,63.0,6.0,1409.0,24.0,9.0,439.0,24.0,2.0,317.0,10.0,1.0,67.75,0.0,0.0,0.0,20.5,6.0,147.54545454545453,0.0,0.0,0.0,0.0,14.0,9.0,231.0,4.2
2015,iati,5,30.0,15,12,263.0,193.0,140.0,0.0,68.0,3.0,102.0,24.0,18.0,2.0,245.0,165.0,24.0,3837.0,64.0,23.0,814.0,24.0,1.0,596.0,0.0,0.0,198.66666666666666,0.0,0.0,0.0,54.5,12.0,401.27272727272725,0.0,5.5,1.0,23.7,46.0,23.0,569.0,4.4
2015,ibimirim,6,35.5,21,43,267.0,350.0,491.0,110.0,141.0,12.0,106.0,23.0,9.0,13.0,216.0,240.0,27.0,4589.0,48.0,22.0,1004.0,76.0,5.0,1218.0,37.0,4.666666666666667,209.78571428571428,0.0,0.0,0.0,42.5,13.0,326.90909090909093,0.0,4.25,1.0,25.272727272727273,39.0,22.0,788.0,4.933333333333334
2015,ibirajuba,4,19.25,44,9,86.0,86.0,95.0,20.0,52.0,3.0,32.0,11.0,6.0,2.0,97.0,81.0,12.0,1146.0,14.0,11.0,285.0,17.0,1.0,287.0,7.0,1.0,62.8,0.0,0.0,0.0,22.75,6.5,127.63636363636364,0.0,0.0,0.0,0.0,8.0,11.0,188.0,4.7
2015,igarassu,70,29.8,1133,374,1624.0,1326.0,994.0,0.0,338.0,26.0,373.0,65.0,33.0,21.0,734.0,688.0,76.0,16322.0,177.0,65.0,3679.0,183.0,9.0,3971.0,105.0,6.0,848.1428571428571,0.0,0.0,0.0,121.75,23.25,973.7272727272727,27.0,78.5,19.5,488.26666666666665,147.0,65.0,2945.0,3.9
2015,ipojuca,50,28.6,805,291,1394.0,983.0,832.0,0.0,293.0,17.0,366.0,82.0,48.0,37.0,1135.0,647.0,89.0,15737.0,178.0,79.0,3858.0,158.0,10.0,3281.0,10.5,1.0,431.375,0.0,0.0,0.0,166.0,43.5,1459.6363636363637,72.0,42.75,9.0,224.6,136.0,76.0,2723.0,4.8
2015,ipubi,8,42.75,49,65,680.0,569.0,454.0,141.0,155.0,9.0,127.0,42.0,10.0,4.0,184.0,260.0,44.0,5794.0,44.0,38.0,1185.0,80.0,4.0,1844.0,20.5,1.5,281.3333333333333,0.0,0.0,0.0,63.5,20.75,545.8181818181819,0.0,9.25,1.5,26.09090909090909,34.0,37.0,1001.0,4.4
